xP4]utt number,xP4]subjses,gesture description::transcript number,gesture description::utt #,gesture description::within utt sign seq,gesture description::form gloss,gesture description::utt case output,gesture description::link orig,view ar|en,view predicate,view pa|sim|pic,view re|po|lo,view pl|so|in,view oth element,xP4]utt number,utt proposition number,proposition type
,,,62,2,HOLD,ac2,end (•),,,,,,,,,
63.00 ,TDC101 S02 child,,63,1,toy bag,en,end (•),q,(---),,,,,63.00 ,1,existence
64.00 ,TDC101 S02 child,,64,1,pm toy,en,end (•),pm toy,(---),,,,,64.00 ,1,existence
65.00 ,TDC101 S02 child,,65,1,flip,flip,seq (-),pm toy,(---),,,,,65.00 ,1,existence
,,,65,2,pm toy,en,end (•),,,,,,,,,
66.00 ,TDC101 S02 child,,66,1,nod,nod,end (•),,,,,,,66.00 ,1,no prop
67.00 ,TDC101 S02 child,,67,1,q,q,end (•),,,,,,,67.00 ,1,q
67.50 ,TDC101 S02 child,,67.5,1,play area,en,end (•),play area,(---),,,,,67.50 ,1,existence
68.00 ,TDC101 S02 child,,68,1,chair,en,end (•),chair,(---),,,,,68.00 ,1,existence
68.50 ,TDC101 S02 child,,68.5,1,nod,nod,end (•),,,,,,,68.50 ,1,no prop
69.00 ,TDC101 S02 child,,69,1,pm person,en1,sim (+),pm person,(IS LIKE),self,,,,69.00 ,1,similarity
,,,69,2,self,sim1,seq (-),,,,,,,,,
,,,69,3,pm person,en1,seq (-),,,,,,,,,
,,,69,4,TRACE HAIR,de2,seq (-),,,,,,,,,
,,,69,5,hair,en2,sim (+),,,,,,,,,
,,,69,6,pm person,en1,end (•),,,,,,,,,
69.00 ,TDC101 S02 child,,69,1,pm person,en1,sim (+),hair,TRACE HAIR,,,,,69.00 ,2,descriptor
,,,69,2,self,sim1,seq (-),,,,,,,,,
,,,69,3,pm person,en1,seq (-),,,,,,,,,
,,,69,4,TRACE HAIR,de2,seq (-),,,,,,,,,
,,,69,5,hair,en2,sim (+),,,,,,,,,
,,,69,6,pm person,en1,end (•),,,,,,,,,
70.00 ,TDC101 S02 child,,70,1,pm person,en,sim (+),pm person,(IS LIKE),hair,,,,70.00 ,1,similarity
,,,70,2,hair,sim,end (•),,,,,,,,,
70.50 ,TDC101 S02 child,,70.5,1,MOVE UP,ac,seq (-),pm person,MOVE UP,(spoon),(mouth),,,70.50 ,1,transfer
,,,70.5,2,pm person,ar,end (•),,,,,,,,,
71.00 ,TDC101 S02 child,,71,1,POUR,ac,end (•),(aysemur),POUR,(cup),,,,71.00 ,1,transform
72.00 ,TDC101 S02 child,,72,1,PUT IN,ac1,seq (-),(someone),PUT IN,(pm toy),,(bag) | |,,72.00 ,1,transform
,,,72,2,PUT IN,ac1,seq (-),,,,,,,,,
,,,72,3,GIVE,ac2,end (•),,,,,,,,,
72.00 ,TDC101 S02 child,,72,1,PUT IN,ac1,seq (-),(mother),GIVE,(pm toy),(aysenur),,,72.00 ,2,transfer
,,,72,2,PUT IN,ac1,seq (-),,,,,,,,,
,,,72,3,GIVE,ac2,end (•),,,,,,,,,
73.00 ,TDC101 S02 child,,73,1,head shake,head shake,end (•),,,,,,,73.00 ,1,no prop
74.00 ,TDC101 S02 child,,74,1,pm plant,en,end (•),pm plant,(---),,,,,74.00 ,1,existence
75.00 ,TDC101 S02 child,,75,1,pm plant,en,end (•),pm plant,(---),,,,,75.00 ,1,existence
76.00 ,TDC101 S02 child,,76,1,pm plant,en,end (•),pm plant,(---),,,,,76.00 ,1,existence
77.00 ,TDC101 S02 child,,77,1,pm cabinet/lamp,en,end (•),pm cabinet/lamp,(---),,,,,77.00 ,1,existence
78.00 ,TDC101 S02 child,,78,1,q,en,end (•),q,(---),,,,,78.00 ,1,existence
79.00 ,TDC101 S02 child,,79,1,q,en,seq (-),q,(---),,,,,79.00 ,1,existence
,,,79,2,q,en,seq (-),,,,,,,,,
,,,79,3,tap,tap,end (•),,,,,,,,,
80.00 ,TDC101 S02 child,,80,1,pm pot,en,end (•),pm pot,(---),,,,,80.00 ,1,existence
